model,coef,mse_train,rmse_train,mae_train,mape_train,mse_test,rmse_test,mae_test,mape_test
"reg_trend: negative_score_mean, neutral_score_mean, positive_score_mean","{'const': 2824130649.381898, 'negative_score_mean': -2824124281.677678, 'neutral_score_mean': -2824124138.614053, 'positive_score_mean': -2824123974.0501394, 'time_index': -0.02278853413591847}",104599.96200823628,323.41917384137304,247.66006520383675,3.7530331855254793,174428.43354229655,417.6463019617156,399.6771620156785,6.547459416759699
"reg_trend: negative_score_sd, neutral_score_sd, positive_score_sd","{'const': 6185.134307928713, 'negative_score_sd': -172.3335576781555, 'neutral_score_sd': 303.3345960577251, 'positive_score_sd': 773.2389053411753, 'time_index': -0.019057676275309854}",104820.56408175874,323.7600408972033,247.05348702453082,3.7439781280388926,171835.19335050398,414.530087388725,397.2028425759894,6.506978791532424
"reg_trend: negative_score_min, neutral_score_min, positive_score_min","{'const': 6484.504047492792, 'negative_score_min': 14293.043600171753, 'neutral_score_min': 4146.830797317642, 'positive_score_min': 21532.844799513994, 'time_index': -0.033910719370820186}",104740.81762890596,323.63686073886265,246.81193505170108,3.741441764210377,165412.51302704882,406.70937169808224,389.1086849933359,6.37483702700025
"reg_trend: negative_score_max, neutral_score_max, positive_score_max","{'const': 8231.368442039793, 'negative_score_max': -53.163420028724104, 'neutral_score_max': -861.4882530977154, 'positive_score_max': -802.1550597291581, 'time_index': -0.033629697476321885}",105037.23990381902,324.09449224542374,248.6013599652264,3.76828377448464,172435.53154513607,415.2535749938055,397.01380235556195,6.5043734251729335
reg: baseline_trend,"{'const': 6539.896527845633, 'x1': -0.028616842228835038}",105496.88137999669,324.8028346243251,249.16671955789005,3.7768360053521306,172257.24539710267,415.0388480577483,397.637660944872,6.514617476042807
"reg: negative_score_mean, neutral_score_mean, positive_score_mean","{'const': 2814172049.9209595, 'negative_score_mean': -2814165690.472164, 'neutral_score_mean': -2814165545.8890314, 'positive_score_mean': -2814165379.102947}",104613.0361524647,323.4393855925167,248.08467696842393,3.759883836728272,170139.55601095152,412.47976436541893,394.1596445961604,6.457693548029714
"reg: negative_score_sd, neutral_score_sd, positive_score_sd","{'const': 6180.355322812974, 'negative_score_sd': -176.4775534904019, 'neutral_score_sd': 300.22000109506666, 'positive_score_sd': 778.6729346028283}",104829.68020673185,323.7741191119696,247.4325202337738,3.750072768334788,168287.08194073488,410.22808526566644,392.618377461939,6.432392474403889
"reg: negative_score_min, neutral_score_min, positive_score_min","{'const': 6475.678852367572, 'negative_score_min': 14248.59053010806, 'neutral_score_min': 4055.736904403858, 'positive_score_min': 21553.64247886706}",104769.84172635862,323.681698164043,247.5152384182565,3.752727921571144,159195.59873837497,398.9932314443128,380.8854176483784,6.24105431382294
"reg: negative_score_max, neutral_score_max, positive_score_max","{'const': 8172.301477432576, 'negative_score_max': -55.08872578650599, 'neutral_score_max': -863.1414539987886, 'positive_score_max': -747.8196048963541}",105065.51512673167,324.1381111914051,249.16781772124986,3.7774613026260013,166208.08027645212,407.68625225343584,388.92914488156174,6.372854296486234
"ARIMA: negative_score_mean, neutral_score_mean, positive_score_mean","negative_score_mean    1.839666e+07
neutral_score_mean     1.839666e+07
positive_score_mean    1.839668e+07
ar.L1                  1.619038e-01
ar.L2                 -1.163565e-03
ma.L1                 -1.610373e-01
sigma2                 4.072102e+03
dtype: float64",613778299774.2583,783440.0422331362,33425.234958245856,500.94397104826373,26585.905620709975,163.051849485708,140.6398846222058,2.3139371970704405
