model,coef,mse_train,rmse_train,mae_train,mape_train,mse_test,rmse_test,mae_test,mape_test
"reg_trend: negative_score_mean, neutral_score_mean, positive_score_mean","{'const': 7239.1016798843475, 'negative_score_mean': -628.7693596575859, 'neutral_score_mean': -583.4294413492156, 'positive_score_mean': -21.175097797836827, 'time_index': 0.8914633875158792}",207066.841435031,455.0459772759572,366.7383012817566,4.947694699924024,957174.3857415295,978.3528942776883,970.8132775493015,12.33147104456201
"reg_trend: negative_score_sd, neutral_score_sd, positive_score_sd","{'const': 7134.62443888754, 'negative_score_sd': -482.53150790524967, 'neutral_score_sd': -716.7522346097719, 'positive_score_sd': 400.8483179960384, 'time_index': 0.8810291056991321}",208435.29596651433,456.54714539301887,367.30700421680933,4.9560248898536035,926733.0800123134,962.6697668527424,954.9213271680118,12.128415597204286
"reg_trend: negative_score_min, neutral_score_min, positive_score_min","{'const': 6885.045192117949, 'negative_score_min': -835.7508140035602, 'neutral_score_min': -5.2877515232305115, 'positive_score_min': 86.74099415143458, 'time_index': 0.8706270851248642}",210701.82574806688,459.0226854394746,370.27269779186753,4.996163176095045,904986.0985876144,951.3075730738268,944.1338673540181,11.990565284568426
"reg_trend: negative_score_max, neutral_score_max, positive_score_max","{'const': 7159.100179801185, 'negative_score_max': -65.9234350530426, 'neutral_score_max': -270.02771289048115, 'positive_score_max': 38.433228898629594, 'time_index': 0.8828356088005108}",209720.4293554467,457.9524313238731,368.98787370912174,4.977909223274945,927997.5586761914,963.3262991718805,956.0971085238391,12.14270800112917
reg: baseline_trend,"{'const': 6882.355217964308, 'x1': 0.8713643477011372}",210720.77032853075,459.0433207536417,370.25453321395617,4.995837036676866,905495.5662581599,951.5753077177654,944.4055513444207,11.994026046900007
"reg: negative_score_mean, neutral_score_mean, positive_score_mean","{'const': 7595.878649437836, 'negative_score_mean': -1047.3354869656766, 'neutral_score_mean': 567.5923795219918, 'positive_score_mean': -158.50340231469835}",315396.498549963,561.6017259143377,453.5773950922227,6.1749054342727145,144587.7768966547,380.2469945925341,347.66830024744183,4.404234841398914
"reg: negative_score_sd, neutral_score_sd, positive_score_sd","{'const': 7733.569276866736, 'negative_score_sd': -1104.430142411689, 'neutral_score_sd': 1228.446115056939, 'positive_score_sd': -730.0162357156219}",320126.55413560057,565.7972730012054,457.7666801237487,6.232203780007722,146196.22266984265,382.356146373826,356.1177844588119,4.512192540009819
"reg: negative_score_min, neutral_score_min, positive_score_min","{'const': 7519.60741582056, 'negative_score_min': -13282.85624108808, 'neutral_score_min': -100.92454048813363, 'positive_score_min': 84.49435441410971}",327894.736579451,572.6209362042669,465.5856720682124,6.336005995808796,159246.84070263573,399.05744035493905,382.06335960760504,4.8408061173519386
"reg: negative_score_max, neutral_score_max, positive_score_max","{'const': 7365.598299422722, 'negative_score_max': -180.58279551326052, 'neutral_score_max': 342.8884471748369, 'positive_score_max': -39.770614480212714}",329298.00022502616,573.8449269837855,466.00262071489965,6.342125445114255,152383.72465664503,390.36358008482944,374.3970884071232,4.743829908126493
"ARIMA: negative_score_mean, neutral_score_mean, positive_score_mean","negative_score_mean     -30.826018
neutral_score_mean        2.524864
positive_score_mean       6.662436
ar.L1                    -0.010037
ar.L2                    -0.062983
ma.L1                     0.023109
sigma2                 5078.976123
dtype: float64",31135.72534032701,176.45318172344474,58.61251623832908,0.8024692190329629,23234.888007169502,152.4299445882255,122.181427052282,1.5690680800683274
"ARIMA: negative_score_sd, neutral_score_sd, positive_score_sd","negative_score_sd     -45.338635
neutral_score_sd      -22.211960
positive_score_sd      21.345844
ar.L1                  -0.015038
ar.L2                  -0.062105
ma.L1                   0.027933
sigma2               5075.172479
dtype: float64",31241.843170659424,176.75362279359206,58.62699967167625,0.8027092346162027,23419.421709893406,153.03405408566226,122.83232532020321,1.5773980952771698
"ARIMA: negative_score_min, neutral_score_min, positive_score_min","negative_score_min     311.746422
neutral_score_min       22.160397
positive_score_min      31.814555
ar.L1                    0.020125
ar.L2                   -0.059970
ma.L1                   -0.004896
sigma2                5087.568408
dtype: float64",31116.28983492864,176.39810042891233,58.91722301980926,0.8066801045175986,24056.53902726866,155.10170542991673,125.1614825453534,1.6071703479828134
"ARIMA: negative_score_max, neutral_score_max, positive_score_max","negative_score_max     -17.824391
neutral_score_max      -16.528440
positive_score_max      28.791799
ar.L1                   -0.018027
ar.L2                   -0.061455
ma.L1                    0.033623
sigma2                5082.927292
dtype: float64",31162.323095055657,176.52853337366076,58.78084409485795,0.8046356295242533,24009.801387875126,154.95096446255224,124.87188972587958,1.6035024641172926
ARIMA: base,"ar.L1        0.016465
ar.L2       -0.060527
ma.L1       -0.001683
sigma2    5097.092496
dtype: float64",31133.40735172789,176.44661331895233,58.908093685533906,0.8065458173510383,24020.705944869347,154.98614759025835,125.03716798524755,1.6055852694694273
"LSTM: negative_score_mean, neutral_score_mean, positive_score_mean",,425464.14625732694,652.2761273090767,526.8293062568231,7.1235169552830975,256488.81803001428,506.44725098475385,455.8417611471037,5.778837882654082
"LSTM: negative_score_sd, neutral_score_sd, positive_score_sd",,528031.0062871298,726.6574201693187,579.8716964610626,7.871887631580063,343250.25472887553,585.8756307689163,463.3590058117378,5.878471352625771
"LSTM: negative_score_min, neutral_score_min, positive_score_min",,333502.5633584759,577.4968080937556,470.190625852893,6.380561609536121,173784.04929993502,416.87414083861694,401.6861482945884,5.090474257503897
"LSTM: negative_score_max, neutral_score_max, positive_score_max",,615492.0588450832,784.5330196015227,542.7983217197735,7.356429637318068,563091.0609335608,750.3939371647141,476.9130978467988,6.041581879174617
