model,coef,mse_train,rmse_train,mae_train,mape_train,mse_test,rmse_test,mae_test,mape_test
"reg_trend: negative_score_mean, positive_score_mean","{'const': 7975.507281191302, 'negative_score_mean': -1457.9382218768094, 'positive_score_mean': -34.686311443315354, 'time_index': -0.38507961090676585}",368457.6730641883,607.0071441623963,475.8335293176799,6.8134735500265275,2124548.4913737183,1457.5830993029929,1450.2981980364514,23.658824187401144
"reg_trend: negative_score_sd, positive_score_sd","{'const': 7965.897876401021, 'negative_score_sd': -1663.8693805091784, 'positive_score_sd': 550.9777745473923, 'time_index': -0.3744056258053152}",371589.0799273871,609.581069200305,477.64909740463514,6.83811153962261,2072998.7175565686,1439.791206236713,1433.5883164702832,23.386374789897786
"reg_trend: negative_score_min, positive_score_min","{'const': 7631.052698213081, 'negative_score_min': -12065.965193583623, 'positive_score_min': 161.38102826554146, 'time_index': -0.38234741696749963}",381276.97298454435,617.47629345955,484.9299063406941,6.94117178145203,2149678.2645534445,1466.1781148801276,1461.5445871932122,23.843824461128207
"reg_trend: negative_score_max, positive_score_max","{'const': 7576.891558858226, 'negative_score_max': -448.2747459314241, 'positive_score_max': 458.1443931946184, 'time_index': -0.3714216453627389}",381151.1594513292,617.3744078363868,484.02735268318395,6.927901183225344,2058988.909618973,1434.9177361852396,1430.375188258231,23.335390304833346
reg: baseline_trend,"{'const': 7589.691805644461, 'x1': -0.3741980357312515}",382388.4811592138,618.3756796310911,485.0058017564242,6.942861177238449,2077058.517051532,1441.2003736647905,1436.7199217451257,23.43865500806177
"reg: negative_score_mean, positive_score_mean","{'const': 7125.919454267676, 'negative_score_mean': -934.1522857256399, 'positive_score_mean': 434.2211537883022}",464953.6899799913,681.8751278496608,566.6082428878128,8.123443095634327,882706.4470039953,939.5245856304109,928.399366473933,15.15932141533099
"reg: negative_score_sd, positive_score_sd","{'const': 7468.638296571512, 'negative_score_sd': -1655.4174473409241, 'positive_score_sd': 464.55997191815703}",464604.65718147875,681.6191437903419,564.6856216689696,8.09915132218746,858697.3864913838,926.6592612667203,916.2614435174006,14.961463800205449
"reg: negative_score_min, positive_score_min","{'const': 7038.011763881252, 'negative_score_min': 9341.644285506467, 'positive_score_min': 254.10985071082615}",474457.66311125515,688.8088727007334,570.6674614874274,8.184821618912398,840853.5887035109,916.9806915652646,909.4146798500698,14.850511735062966
"reg: negative_score_max, positive_score_max","{'const': 7523.750336413467, 'negative_score_max': -766.1375178100881, 'positive_score_max': 293.5002862460356}",471329.43181622087,686.5343631721728,568.637517018366,8.155260945209726,845203.377924331,919.3494318942776,911.4686226178222,14.884678904774972
"ARIMA: negative_score_mean, positive_score_mean","negative_score_mean      -4.776335
positive_score_mean       4.454700
ar.L1                    -0.296932
ar.L2                    -0.053633
ma.L1                     0.295779
sigma2                 6076.442018
dtype: float64",18748.565397033406,136.92540084671435,59.47571712071181,0.8627658110833819,27194.000513229268,164.90603540570996,141.95969100650893,2.3360308407011168
"ARIMA: negative_score_sd, positive_score_sd","negative_score_sd     -13.880291
positive_score_sd      -8.554080
ar.L1                  -0.300101
ar.L2                  -0.054477
ma.L1                   0.299630
sigma2               6074.317659
dtype: float64",18786.528836002093,137.0639589242996,59.476319930827046,0.8628299696779822,27394.299160512317,165.51223266125172,142.43884439747526,2.344004507697967
"ARIMA: negative_score_min, positive_score_min","negative_score_min     631.569930
positive_score_min      27.127091
ar.L1                   -0.299414
ar.L2                   -0.052623
ma.L1                    0.300078
sigma2                6068.620528
dtype: float64",18739.420691817042,136.89200375411647,59.54301637759125,0.8635944051468989,27202.71941814786,164.93246926590245,141.9281048660193,2.335565306126555
"ARIMA: negative_score_max, positive_score_max","negative_score_max       1.193786
positive_score_max     -10.801235
ar.L1                   -0.295573
ar.L2                   -0.053980
ma.L1                    0.296245
sigma2                6075.513874
dtype: float64",18792.604516953957,137.0861208035079,59.51657839432132,0.863396077184982,27177.10712831991,164.85480620327667,141.9371145761691,2.3356454338734394
ARIMA: base,"ar.L1       -0.294522
ar.L2       -0.053917
ma.L1        0.294771
sigma2    6076.576811
dtype: float64",18753.51430651546,136.94347120806987,59.515069498458466,0.8633231659533126,27180.864492444525,164.86620178934348,141.94349180061386,2.335751695715115
"LSTM: negative_score_mean, positive_score_mean",,695400.5498663749,833.9067992685843,671.6728084788602,9.587173731542622,916537.2307655206,957.3595096751902,897.4429020957341,14.659263958947239
"LSTM: negative_score_sd, positive_score_sd",,672258.3634685444,819.9136317128435,659.1974396898255,9.421499055030633,946615.9110539376,972.9418847258748,931.3394097222222,15.211618223137705
"LSTM: negative_score_min, positive_score_min",,474482.7993545723,688.8271186259817,570.8542959752614,8.190769850235077,846242.2767363995,919.9142768412715,912.3731786334325,14.898701335358645
"LSTM: negative_score_max, positive_score_max",,666563.0327564428,816.4331159111828,622.0223304753943,8.87524465783576,899489.9118549862,948.4144198898424,939.1952504960317,15.336134629338193
