model,coef,mse_train,rmse_train,mae_train,mape_train,mse_test,rmse_test,mae_test,mape_test
"reg_trend: negative_score_mean, positive_score_mean","{'const': 6513.821054948467, 'negative_score_mean': -156.91087468936496, 'positive_score_mean': 164.08596581355596, 'time_index': -0.01990584095056358}",105069.03921036774,324.1435472292604,248.01069866867573,3.758708625350212,173403.31197565107,416.4172330435558,398.77326269508643,6.532882687959638
"reg_trend: negative_score_sd, positive_score_sd","{'const': 6298.639634570497, 'negative_score_sd': -193.5338240472122, 'positive_score_sd': 778.9275776171021, 'time_index': -0.01726439920302708}",104904.10670425565,323.88903455389726,246.87085227199572,3.741441966095968,174020.02067771368,417.1570695526011,399.8559334061596,6.550337438170072
"reg_trend: negative_score_min, positive_score_min","{'const': 6501.9959414024825, 'negative_score_min': 14040.466878135729, 'positive_score_min': 24689.347171361514, 'time_index': -0.030446582156330226}",104875.78968254809,323.84531752450596,247.12788706397532,3.746176210375076,165492.790634193,406.80805133894904,389.6324689659844,6.383252402915575
"reg_trend: negative_score_max, positive_score_max","{'const': 7507.695844288213, 'negative_score_max': -84.3456568957845, 'positive_score_max': -899.059470471432, 'time_index': -0.03445817050423028}",105400.22197761467,324.65400348311533,249.64854477552967,3.7843316032040066,171462.43973895526,414.0802334559756,396.70942143829683,6.499359943311149
reg: baseline_trend,"{'const': 6539.896527845633, 'x1': -0.028616842228835038}",105496.88137999669,324.8028346243251,249.16671955789005,3.7768360053521306,172257.24539710267,415.0388480577483,397.637660944872,6.514617476042807
"reg: negative_score_mean, positive_score_mean","{'const': 6507.925378567515, 'negative_score_mean': -158.1961008619573, 'positive_score_mean': 166.02930803209432}",105079.01893672544,324.1589408557559,248.4322015177408,3.7654629185764,169664.59102603322,411.9036186124531,393.9545003085983,6.4544846451399716
"reg: negative_score_sd, positive_score_sd","{'const': 6293.249341741463, 'negative_score_sd': -197.09412266761197, 'positive_score_sd': 783.8020744915426}",104911.59517476817,323.9005945884758,247.24997685200196,3.7475113211367983,170759.967505192,413.2311308519628,395.6741358356294,6.482300453165789
"reg: negative_score_min, positive_score_min","{'const': 6493.708690098705, 'negative_score_min': 14005.457921758161, 'positive_score_min': 24645.666336001093}",104899.23939292965,323.88152061043814,247.70712168189226,3.755511918679646,159884.3439523552,399.85540380536963,382.22228711043425,6.2626997116626555
"reg: negative_score_max, positive_score_max","{'const': 7445.747883377163, 'negative_score_max': -86.37980206829198, 'positive_score_max': -843.5733711060641}",105429.9088933251,324.699721116796,250.2154563242723,3.7935167222132824,165086.651342159,406.30856666105257,388.42460695882954,6.364584590231546
"ARIMA: negative_score_mean, positive_score_mean","negative_score_mean      -2.647701
positive_score_mean      14.453856
ar.L1                     0.481089
ar.L2                    -0.086613
ma.L1                    -0.491006
sigma2                 4071.829983
dtype: float64",84751.06965857449,291.1203697074021,61.37418308445248,0.9374435397622782,30614.43535556454,174.96981269797524,149.18958546800948,2.4568157785096254
"ARIMA: negative_score_sd, positive_score_sd","negative_score_sd       3.760651
positive_score_sd      67.629214
ar.L1                   0.483136
ar.L2                  -0.086156
ma.L1                  -0.492562
sigma2               4067.886084
dtype: float64",84216.15485327151,290.2001978863411,61.35082129908334,0.9370815087986675,30084.10132661563,173.44769046203996,147.99210897628234,2.436930552288599
"ARIMA: negative_score_min, positive_score_min","negative_score_min    1848.148506
positive_score_min   -1268.345094
ar.L1                    0.484309
ar.L2                   -0.091751
ma.L1                   -0.489272
sigma2                4059.375568
dtype: float64",84868.61037116307,291.3221762433527,61.54507121735508,0.9401662403832864,30885.526512411878,175.74278509347653,149.61469923852843,2.464046260310014
"ARIMA: negative_score_max, positive_score_max","negative_score_max      87.033406
positive_score_max      77.431736
ar.L1                    0.467253
ar.L2                   -0.096619
ma.L1                   -0.467054
sigma2                4041.191155
dtype: float64",80922.75108666689,284.46924453562093,60.92557172038443,0.9306995531715959,30436.12488972513,174.45952220995315,148.74689300645684,2.4494819928265765
ARIMA: base,"ar.L1        0.470097
ar.L2       -0.089441
ma.L1       -0.478422
sigma2    4072.679679
dtype: float64",84870.83822872656,291.325999918865,61.4782631325303,0.9390815762861122,30682.577364153738,175.16442950597516,149.41564728392672,2.4605275116876104
"LSTM: negative_score_mean, positive_score_mean",,6353550.241900168,2520.6249704984216,2477.3597689038397,37.76409123473533,4467769.3255391065,2113.7098489478412,2088.153335813492,33.97356878723804
"LSTM: negative_score_sd, positive_score_sd",,3306425.027107238,1818.3577830304018,1770.8781875638044,26.929968273471967,1968067.8176237175,1402.8784044327283,1378.7894887772818,22.41872754981758
"LSTM: negative_score_min, positive_score_min",,15934312.162671885,3991.780575466528,3978.5669073807567,60.81540286884297,12897285.508799003,3591.279090908837,3589.3207271515375,58.429572834189294
"LSTM: negative_score_max, positive_score_max",,2543184.843907544,1594.7366064361674,1555.174624794408,23.625059135457146,1349462.319075819,1161.6635997894653,1154.6578000992063,18.770878644726103
