model,coef,mse_train,rmse_train,mae_train,mape_train,mse_test,rmse_test,mae_test,mape_test
"reg_trend: negative_score_mean, positive_score_mean","{'const': 6828.75173996756, 'negative_score_mean': -278.3905591456378, 'positive_score_mean': 319.86115019813076, 'time_index': 0.8677986940989174}",208524.4789044046,456.6448060630982,367.9341422603874,4.964713912863553,905263.8599720575,951.4535511374465,943.8973452396382,11.98884363971809
"reg_trend: negative_score_sd, positive_score_sd","{'const': 7053.427921873887, 'negative_score_sd': -500.1804956096531, 'positive_score_sd': 34.28934237521665, 'time_index': 0.8590991567364529}",209459.7010177845,457.6676753035815,369.08046151512525,4.981464324197501,883414.1759045782,939.9011521987715,932.3453839345478,11.84129574148525
"reg_trend: negative_score_min, positive_score_min","{'const': 6885.013401733777, 'negative_score_min': -838.2909999880621, 'positive_score_min': 86.44285331499917, 'time_index': 0.8706319568528038}",210701.86200559998,459.0227249337444,370.27157389606106,4.996149740668162,904984.0424654598,951.306492391101,944.1322586267061,11.990543905513624
"reg_trend: negative_score_max, positive_score_max","{'const': 7097.936898791259, 'negative_score_max': -136.18939289381095, 'positive_score_max': -89.1282955483755, 'time_index': 0.8748902016347077}",210194.5548499759,458.4697970967945,369.8471462454668,4.990627166920836,908017.831664636,952.8996965392716,945.6673052987503,12.010245704925884
reg: baseline_trend,"{'const': 6882.355217964308, 'x1': 0.8713643477011372}",210720.77032853075,459.0433207536417,370.25453321395617,4.995837036676866,905495.5662581599,951.5753077177654,944.4055513444207,11.994026046900007
"reg: negative_score_mean, positive_score_mean","{'const': 8026.875430507894, 'negative_score_mean': -1418.448574798616, 'positive_score_mean': -512.360782199347}",316852.318632035,562.8963658010549,454.58740399724724,6.188860514232489,149307.54204673492,386.4033411433381,358.0779368779993,4.536813672472475
"reg: negative_score_sd, positive_score_sd","{'const': 7910.2173157318475, 'negative_score_sd': -1100.4431236862463, 'positive_score_sd': -107.99344607324284}",323353.72150580655,568.6419976626828,460.09332485488983,6.26281099305028,154258.94507532855,392.7581254096833,370.2175530822454,4.691482314048589
"reg: negative_score_min, positive_score_min","{'const': 7519.068366952303, 'negative_score_min': -13332.673847978658, 'positive_score_min': 78.80308067799041}",327907.9463018284,572.6324705269762,465.53884385819174,6.335400517214616,159172.30021815462,398.96403374007866,381.97261562100226,4.839634344287491
"reg: negative_score_max, positive_score_max","{'const': 7447.293885325337, 'negative_score_max': -90.83415415035188, 'positive_score_max': 124.67604339688566}",330078.4519454189,574.5245442497813,467.2414801981537,6.3580094228801824,157299.57249363433,396.6101013509796,381.1308613138162,4.8292220530937175
"ARIMA: negative_score_mean, positive_score_mean","negative_score_mean     -32.270042
positive_score_mean       5.249871
ar.L1                    -0.011412
ar.L2                    -0.063022
ma.L1                     0.024540
sigma2                 5079.003663
dtype: float64",31151.35225408958,176.49745679212938,58.609502325436196,0.8024353857350048,23228.31853341612,152.40839390734396,122.15757076771997,1.5687639260139121
"ARIMA: negative_score_sd, positive_score_sd","negative_score_sd     -45.963068
positive_score_sd       9.794928
ar.L1                  -0.006702
ar.L2                  -0.062168
ma.L1                   0.019750
sigma2               5076.889633
dtype: float64",31218.765673270955,176.68832919372733,58.64004379730874,0.802937222308865,23462.738345046484,153.17551483525847,122.97392650398513,1.579212993091933
"ARIMA: negative_score_min, positive_score_min","negative_score_min     318.987511
positive_score_min      33.227492
ar.L1                    0.006798
ar.L2                   -0.060339
ma.L1                    0.008604
sigma2                5088.483133
dtype: float64",31118.456169721125,176.40424079290477,58.915996956434796,0.8066041671876842,24117.637254511777,155.29854234509665,125.36392996913115,1.6097681807344375
"ARIMA: negative_score_max, positive_score_max","negative_score_max     -22.266288
positive_score_max      20.972612
ar.L1                    0.001629
ar.L2                   -0.060728
ma.L1                    0.013224
sigma2                5087.206414
dtype: float64",31135.83439824226,176.45349075108223,58.80163296008952,0.8049740637443223,23933.095467471623,154.70324969913082,124.59520871598772,1.599961148749859
ARIMA: base,"ar.L1        0.016465
ar.L2       -0.060527
ma.L1       -0.001683
sigma2    5097.092496
dtype: float64",31133.40735172789,176.44661331895233,58.908093685533906,0.8065458173510383,24020.705944869347,154.98614759025835,125.03716798524755,1.6055852694694273
"LSTM: negative_score_mean, positive_score_mean",,877794.6197615289,936.9069429572656,738.825971800514,9.955244439216617,667745.3859852232,817.1568919033989,695.4307474275914,8.835125578930555
"LSTM: negative_score_sd, positive_score_sd",,678143.6475955365,823.4947769084735,647.501060785685,8.760112127204353,527324.5736694656,726.1711738078465,547.8102908250762,6.954715778905177
"LSTM: negative_score_min, positive_score_min",,334470.4396506369,578.3341937415053,470.10656756049855,6.393863040854367,160993.3560081546,401.23977371162323,385.2833758098323,4.88187224022149
"LSTM: negative_score_max, positive_score_max",,668711.8868346395,817.7480582885169,550.8565449943709,7.4965600260554055,619739.0721340477,787.235080604293,453.2746135432546,5.739756841001245
